question_order,question_answer_group_id,speaker,role,company,content,year,quarter
4,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,In the curve basically.,2025,1
5,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Yeah. This is basically – that's just mechanically...,2025,1
6,1,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,This is guaranteed not to happen.,2025,1
7,1,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"So that's mechanically just flowing through the curve. So yeah, your question is that given that, why are you not revising down? And the answer
to that is that across all the puts and takes actually, our number is a tiny bit lower. It's just not enough to warrant a change in the outlook. But we
do have some offsets. So we have some balance effects that are favorable. You will have noted that I talked about higher wholesale deposit
balances, for example. We see beta outperforming in a couple of different places in CDs and in wholesale.
The other thing is that you'll recall, we talked before about having a placeholder in our NII outlook for the potential impact of the Card late fee
rule. We've now removed that. So that's a little bit of an offset as well. So that's kind of how you get to unchanged, even though clearly, all else
equal, the lower expected front-end rates are a headwind.",2025,1
0,2,Erika Najarian,Analyst,UBS Securities LLC,"Yes. Good morning. This question is for Jamie. Jamie, you were on the media today talking about potential economic turbulence. But Jeremy
also mentioned that banking should be – the banking system should be a source of strength in this turbulence. The equity market always
seems to think about the banks as weaker players given how they trade the stocks more on sentiment and fear rather than the math of – the
ability of banks to absorb provisions going forward, if we do fall into a slower economic downturn.
So, I guess, just the question here is, can you double-click on how you think this is going to impact the economy going forward and maybe
double-click on Jeremy's statement that the banking system should be a source of strength?",2025,1
1,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"I just – before Jamie answers that, Erika, I just want to make one brief comment, which is the banking system being a source of strength means
what it says. In other words, banks doing their job to support the economy. That's not a statement about bank equity performance and the
extent to which banks are cyclical or not. Like obviously, a recessionary environment, as I've frequently said, all else equal, is bad for banks
from an equity performance perspective. We're talking about the financial strength of banks' balance sheets and our ability to support our
clients in a difficult moment.",2025,1
2,2,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Everyone trades stocks in a different way, so sentiment – but banks are a cork in the ocean when it comes to the economy. If the economy gets
worse, credit losses will go up, volumes can change, deal curves can change. And we're not predicting all of that. What I would say is our
excellent economist, Michael Feroli, I called him this morning, specifically to ask him, how they're looking at their forecast today, they think it's
about 50-50 for a recession. So I'll just refer to that. Obviously, if there's a recession, credit losses will go up and other factors will change, too.
And I think the one thing I'll add to what Jeremy said is – and I don't usually pay that much attention to anecdotes, but this time I am. And I think
you're going to see a lot of companies – you guys – not you, but the analyst community has already reduced its earnings estimates for the S&P
by 5%. So it's – now it's up 5% as opposed to up 10%. My guess is that will be zero and negative 5%, probably in the next month.
And then you're going to hear 1,000 companies report, and they're going to tell you what their guidance is. My guess is a lot will remove it.
They're going to tell you what they think it might do to their customers, their base, their earnings, their cost, their tariffs. It's different for every
company. But I assume you'll see that. And anecdotally, a lot of people are not doing things because of this. They're going to wait and see. And
that's M&A, that's M&A with middle market companies, that's people's hiring plans and stuff like that. So people have to adjust to this new
environment. And I think we'll see what it is.
I just also want to point out, just to – so you can round it up. This is to make you feel comfortable, not uncomfortable. When COVID hit,
unemployment went from like 4% to 15% in a couple of months, and we had to add to reserves in a two-month period of $15 billion. And then to
show you how stupid CECL is, in the three month – three quarter period, we took down the $15 billion. So, just – that just sizes up a bad
recession. If it's a mild recession, it will be less than that. If it's a really bad recession, it will be more than that. Either way, we can handle it and
serve our clients. Earnings won't be great and the stocks will go down, which I look at as an opportunity to buy back more stock.",2025,1
3,2,Erika Najarian,Analyst,UBS Securities LLC,"Got it. And a second follow-up question. And I don't disagree with you guys on equity market performance of bank stocks. It's just that the
mindset of portfolio managers is they always go back to sort of the lowest common denominator of fundamental performance versus thinking
about resilience.
And to that point, the second question is on the reserve. Jeremy, you mentioned a weighted-average unemployment rate of 5.8%. I think that's
above where economists are thinking we could peak even in a recession scenario. How should we think about any incremental builds from
here? And what you are going – obviously, deterioration in the outlook, but what more do you need to see in terms of how you make decisions
about further builds from here?",2025,1
4,2,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, Erika, it's a good question. But the truth is there's just a little bit too much uncertainty right now for me to sort of give an outlook for
reserves, which is generally not a thing that we do anyway. As I mentioned in my prepared remarks, the [indiscernible] forecast at the end of
the quarter was the sort of bog standard, no landing, barely any increase in unemployment. Given that we knew at the time that there was –
there were some big pending announcements, and there was quite a bit of elevated uncertainty around that, it felt like the forecasts were kind
of lagging because people were just waiting to actually get the information and so it felt appropriate to add a little bit of downside skew to our
probability assessment, which is what led to the increase and what led to the build.
Jeremy Barnum
Chief Financial Officer, JPMorganChase A
We use this weighted-average unemployment thing as a useful way to help explain what's going on inside the reserve. But obviously, the actual
mechanisms are quite complex, the depth in any financial recession, the timing of it, distribution of outcomes, which sectors have hits,
idiosyncratic stuff in wholesale. There's a lot.
I think on consumer, as Jamie mentioned, it is worth remembering that by far the most important variable is unemployment. So if the labor
market remains very strong, consumer credit will probably be fine. If it doesn't, then you're going to see it play through the way it always does.",2025,1
5,2,Erika Najarian,Analyst,UBS Securities LLC,Thank you.,2025,1
0,3,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, Erika.",2025,1
0,4,John McDonald,Analyst,Truist Securities Inc.,"Hi, good morning. Jeremy, on that same topic, no change to the full year credit Card net charge-off forecast. How do we square that with the
rising recession risk? Is it because you already have a couple of months of delinquencies kind of baked in the cake and this is more an issue for
next year, or just too early to call?",2025,1
1,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,We should have not given you that forecast. We don't know what the number is going to be. That's a...,2025,1
2,4,John McDonald,Analyst,Truist Securities Inc.,Yeah.,2025,1
3,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"I would say that's a short-term number, and based on what's happening today, there's a wide range of potential outcomes.",2025,1
4,4,John McDonald,Analyst,Truist Securities Inc.,"Yeah. Okay. Okay, yeah, that's what we were kind of thinking. And then...",2025,1
5,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"But, mechanically, John, though, as you alluded to, there are some mechanical elements to the way Card charge-off works that means that it's
pretty baked pretty far ahead of time.",2025,1
6,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,The next couple of quarters. Yeah.,2025,1
7,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"So, sort of echoing Jamie's point, it just doesn't necessarily tell you that much about what might actually happen through the end of the year.
Even if unemployment were to increase significantly, it probably wouldn't flow through the charge-offs until later.",2025,1
8,4,John McDonald,Analyst,Truist Securities Inc.,"Okay. Got it. And then just on capital, how does this type of macro uncertainty impact your thinking around conserving capital as opposed to
deploying it through your investment agenda and buybacks as the stock gets cheaper? Or just, are you still looking to arrest the increase or
does this kind of change it?",2025,1
9,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"The investment that we do in banks, branches, technology, AI is going to continue regardless of the environment. And then we have –
depending what happens to Basel III and CCAR and G-SIFI and all that, $30 billion to $60 billion of excess capital. And in the Chairman's letter, I
wrote about what we think of that. But based upon the environment, the turbulence issues, I like having excess capital. We are prepared for any
environment. And that's so we can serve clients. That's not for any other reason. So, we have plenty of capital and plenty of liquidity to get
through whatever the stormy seas are.",2025,1
10,4,John McDonald,Analyst,Truist Securities Inc.,Okay. Thank you.,2025,1
11,4,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Thanks John.,2025,1
0,5,Matt O’Connor,Analyst,Inc.,"Good morning. Just wanted to drill down on the credit card spend. Any comments in terms of changing patterns on the consumer card spend?
There's been headlines in travel kind of going down. Just talk about some of the puts and takes in that up 7% year-over-year.",2025,1
1,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, it's a good question and we're seeing that too. So let me talk about travel. I mean we obviously saw the airlines discuss what they are
seeing as headwinds for them, specifically in airline travel, and we're seeing that too through the card spend. It's not obvious to us that that's
necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend.
And as I mentioned previously, another thing that we are seeing looking at the April data is what would appear to be a little bit of front-loading
of spending, specifically in items that might be – have prices go up as a function of tariffs. So you see people behaving rationally, and I have
noted even you hear anecdotes, and I've seen evidence of companies specifically advertising we have pre-tariff inventory and so on and so
forth. So it's not that surprising that you're seeing that a little bit in the spending data.
The other thing that people are kind of interested in this space is like what's happening by income band, because we have seen some of the
retailers and other folks talking about weaknesses in the lower income segment. And I think when we look at our Card data and also our cash
buffers and peoples' checking accounts, of course, it is true that it is relatively weaker in the lower income segment. But when you take a step
back and you ask, are we seeing signs of distress in the lower income segment? The answer is no. So, sure, the margin and cash buffers are
lower, and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments. But actually, some of
the increases in spending that we're seeing in April are actually coming from the lower income segment. So no evidence of distress, I would
say.",2025,1
2,5,Matt O’Connor,Analyst,Inc.,"Okay. That's helpful color. And then just separately, if we look at the delinquencies for the Home Lending, the increase both quarter-on-quarter
and year-over-year, is that just some of the noise from the First Republic deal as you take the marks upfront and then those portfolios
essentially re-season from an accounting point of view? Or is there something else going on there?",2025,1
3,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Sorry, the – I actually didn't hear. Which fees?",2025,1
4,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Delinquencies in Home Lending.,2025,1
5,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,I didn't – interesting. I haven't looked at that. We'll have to get back to you on that,2025,1
6,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,I don't think it's anything...,2025,1
7,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Whatever it is, it wasn't important enough to get raised, so.",2025,1
8,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"It could be the First Republic accounting, yes",2025,1
9,5,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Yeah. Anything is possible. We'll get back to you on that.,2025,1
10,5,Matt O’Connor,Analyst,Inc.,Okay. Thank you.,2025,1
0,6,Steven Chubak,Analyst,Wolfe Research LLC,"Hi. Good morning and thanks for taking my questions. Wanted to start off with one on the proposed SLR changes and just the impact of rate
volatility. The Treasury is committed to providing relief to the banks under the SLR just to help mitigate some of the volatility in the 10-year. But
given the geopolitical concerns, weakening global demand for treasuries, how does it inform your appetite just for purchasing U.S. Treasuries
if those reforms are implemented and just how you're managing rate risk maybe more holistically across the Firm, just in light of some the
recent volatility?",2025,1
1,6,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yes. So SLR alone isn't going to change that much for us. It may change for other people. We really need reform across SLR, G-SIFI, CCAR,
Basel III and LCR, all of which have deep flaws in them to make a material change. And remember, it's not relief to the banks; it's relief to the
markets. JPMorgan will be fine with/without an SLR change. The reason to change some of these things is so banks – the big market makers
could intermediate more in the markets. If they don't – if they do, spreads will come in, there'll be more active traders. If they don't, the Fed will
have to intermediate, which I think is just a bad policy idea that every time there's a kerfuffle in the markets, the Fed has to come in and
intermediate. So they should make these changes.
The point – the reason why is when you have very – a lot of volatile markets and very wide spreads and low liquidity in treasuries, it affects all
other capital markets. That's the reason to do it; not as a favor to the banks themselves. And we don't take more interest rate exposure to this
in any way, shape or form. So it's not like we're going to change our position. We intermediate in the markets to help clients do what they have
to do. And if the banks could take bigger positions, they would have just larger dealer positions and take no – basically take not much more
interest rate exposure. I should say that our folks did a fabulous job trading this quarter.",2025,1
2,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"And Steve, all I would add to that is that it is, of course, true, and we all remember the moment a few years ago when intermediaries were, in
fact, bound by SLR as a result of the expansion of the deposit base, and extraordinary actions needed to be taken to address that. So we've
seen when it is binding, and it works not as designed, which is why we do very much agree that it should be fixed. I think our point is a little bit,
as Jamie said in his Chairman's letter, that it's not the only thing that needs to be fixed, and there are interactions among all these things. And
we, as a bank, are not particularly bound by it.
There is some interesting nuance too in terms of the potential TLAC issuance impact there, which is quite sensitive to which particular fix gets
put in. So that will be an interesting thing to watch.",2025,1
3,6,Steven Chubak,Analyst,Wolfe Research LLC,"Thank you both for that perspective. And just for my follow-up, did want to ask on the Markets outlook. So, admittedly, less surprising to hear
some of the cautious IB commentary in light of the uncertainty. But was hoping you could just speak to the Markets businesses which have
been performing extraordinarily well of late and just given the combination of elevated volatility, but also some indications that clients are
taking down risk, how you expect that business to perform over the coming quarters.",2025,1
4,6,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. It's a good question. As you know, Steve, we're obviously not going to give Markets guidance. Your guess is as good as ours at some
level. But the ingredients are the right ingredients. I mean, we've often discussed about how this business, all else equal, benefits from a volatile
environment if markets are operating relatively normally, which they more or less have been. Of course, it's not guaranteed. We need to do a
good job managing the risk. And yeah, there are states of the world where if our clients are struggling or deleveraging or taking down risk, that
could be a headwind for us. So we're going to just do what we always do and try to manage the risk well and serve our clients, but we were
certainly happy to see the performance this quarter.",2025,1
5,6,Steven Chubak,Analyst,Wolfe Research LLC,That's great. Thank you both for taking my questions.,2025,1
0,7,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Thank you. Hi, Jeremy and Jamie. Can you guys share with us – if you take a look at the non-traditional lenders, private credit lenders, they've
been very active in grabbing market share from the traditional commercial banks over the last two or three years, particularly since the initial
Basel III Endgame proposal came out in July of 2023, which is no longer applicable. But are you guys seeing any opportunities where
customers may re-intermediate back into the banks like your bank because of this volatility?",2025,1
1,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"I mean that's hard to tell, Gerard. I think it's too early to tell. But what I would say is that it kind of – your question aligns with what we've been
saying about this space for some time, which is we want to be product agnostic here and give our clients the best option that makes sense for
them in the moment. Whether that's a traditional syndicated lending facility or something that looks more like a unitranche, direct lending type
structure, we're open for business for all of it.
And I would say that when we talk about the financial system being a source – the banking system being a source of strength in this
environment, part of what we're talking about is our commitment and willingness to lend through cycles, as we've always done in the past and
that we have the underwriting capability and the capital and the liquidity and the experience to be reliable lenders in serving our clients no
matter what type of environment we're in. So, if that means that we have an opportunity to compete incrementally even more effectively in this
environment, that will be great.",2025,1
2,7,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Very good. Thank you. And then as a follow-up, you both just talked about the potential changes to the different regulatory outcomes for you
and your peers, whether it's SLR or the G-SIB buffer, et cetera. Can you opine for us your views? Are you more confident with the new
administration, the new personnel, whether it's Treasury Secretary Bessent or others, the nominees for different regulatory heads that there
will be a better chance of real regulatory reform, they see it the way you guys do versus the prior administration?",2025,1
3,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, I mean, Gerard, we always say this, and it's true, which is that we work with all administrations and every administration as constructively
as possible to express our opinions and advocate for the things that we think are right for the banking system and for the economy as a whole,
and that was true before, and it's true now with this administration as well.
Clearly, the administration has been quite vocal about wanting more pro-growth policies at the margin and for wanting to make it easier for
banks to participate more constructively in the economy. And as we see the various folks and the various agencies go through the
confirmation process, it will be helpful to have people in seats and get to work on some of the things that we want to get done. So let's see how
that plays out, but we're looking forward to continuing to engage constructively.",2025,1
4,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. I think there's a deep recognition of the flaws in the system, and there should be, and fortunately, they're going to take a good look at it.",2025,1
5,7,Gerard Cassidy,Analyst,RBC Capital Markets LLC,Very good. Thank you.,2025,1
6,7,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Thanks, Gerard.",2025,1
0,8,Ebrahim Poonawala,Analyst,Bank of America Merrill Lynch,"Thank you. Good morning. I guess just wanted to follow up on the macro uncertainty. I think when you talk to investors, we've gone from
enthusiasm for a pro-business administration to a lot of headwinds. And I think Jamie mentioned you'll have companies take down guidance, et
cetera, potentially over the coming weeks. I'm just wondering what is it you think we need to see before this uncertainty abates, or the 90-day
pause that we saw with some of the other countries on tariffs. Is that enough? Or I'm just wondering when you talk to clients, corporate CEOs,
what are they looking for from the administration that would inject confidence to get back anywhere close to where we were maybe 60 or 90
days ago?",2025,1
1,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"First of all, some of all the issues that are raised existed before the new administration, like the geopolitical situation, the excess fiscal deficits,
poorly done regulations and all that. Obviously, pro-growth is good, pro-business is good, pro-dereg is good. I think the best thing to do is to
allow the Secretary of Treasury and the folks working with him and the administration to finish as quick as possible the agreements that they
need to make with – around tariffs and with our trading partners. And I think there'll be agreements in principle. They're not going to be – trade
agreements themselves would be 5,000 or 10,000 pages long. And that's the best way to go about it right now. That does not mean you won't
have some of the effects take place anyway.",2025,1
2,8,Ebrahim Poonawala,Analyst,Bank of America Merrill Lynch,"Got it. I guess as a follow up, I think there's a lot of concern also in the treasury markets. We've seen the 10-year move from 3.99% to 4.50% in a
matter of a week. Just your comfort level on terms of the functioning of the treasury market. Do you see the Fed stepping in, pausing QT,
maybe even initiating some treasury purchases? Just any color would be great.",2025,1
3,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. But again, I mean, we have sticky inflation. We had that before. I personally have told you all, I don't think that's going to go away, and that
relates to that. Obviously, the U.S. dollar still is the reserve currency, and that isn't going to change, though some people may feel slightly
differently about it. And the Fed – we've been inconsistent. There will be a kerfuffle of the treasury markets because of all the rules and
regulations. I've told you that consistently. It happened in COVID, it happened before, it happened. That will happen. And then when that
happens, the Fed will step in. That's what happens. And they're not going to do it now because you don't have all those issues yet. They'll do it
when they start to panic a little bit, and we don't know if and when that's going to happen, and we'll see.
But the notion that the 10-year Treasury has to go down is a false notion. If we look at history in prior times, when we have huge global deficits.
Back in the '70s, in the '60s, the guns and butter. And tariffs, at least our economists think will be inflationary to 0.5% or something like that. So
we'll have to wait and see and deal with it.",2025,1
4,8,Ebrahim Poonawala,Analyst,Bank of America Merrill Lynch,Thank you.,2025,1
5,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"For most – mostly haven't dealt with this stuff before, and you're going to see a lot of stuff taking place shortly in the next couple of months, and
then we'll know.",2025,1
6,8,Ebrahim Poonawala,Analyst,Bank of America Merrill Lynch,Got it. Thank you so much.,2025,1
0,9,Jim Mitchell,Analyst,Seaport Global Securities LLC,"Hey, good morning. Jeremy, just on – with four – three to four cuts sort of mostly in the back half, June to December, how do you think about
the trajectory of NII this year? Is there a little more pressure towards the end of the year into 2026? Just trying to think of that around that
trajectory and jumping off point into next year.",2025,1
1,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yes. It's funny, Jim, because I was asked on the press call, how come we're not like suspending guidance or whatever? And my answer was
like...",2025,1
2,9,Jim Mitchell,Analyst,Seaport Global Securities LLC,Right.,2025,1
3,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"...well, whatever. We give guidance and we do our best, and it's contingent on a variety of external variables, and we always make our guidance
contingent on that. So in that context...",2025,1
4,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,and the yield curve you're using...,2025,1
5,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, yeah, yeah.",2025,1
6,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,...which we know will not happen.,2025,1
7,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah. And the particular nuance, as you'll recall from last quarter, where we went into some detail about the various drivers of the NII outlook,
including a little bit of a suggestion about the quarterly trajectory is that it's both the timing of rates and the – our expected evolution of deposit
growth in the different businesses and how card revolve and how that was all going to interact, producing a potential trough in different
moments and then so on and so forth.
I think that given everything that's going on on that one, probably we'll wait for next quarter to give you any more color on that. Certainly, the
back-loaded cuts, all else equal, from a run-rate perspective, introduced a little bit of a headwind on an exit rate going into next year. We'll just
have to see how the balances play out through the next three quarters.",2025,1
8,9,Jim Mitchell,Analyst,Seaport Global Securities LLC,Right. And maybe just to...,2025,1
9,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"It will not happen that way, and we have a lot of options in what we want to do to change our exposure to interest rate.",2025,1
10,9,Jim Mitchell,Analyst,Seaport Global Securities LLC,"Right. And maybe just on that point on volumes and deposits, obviously, this kind of volatility tends to drive – as corporates and investors go to
cash, tends to drive higher deposits. Did you see that trend in March and particularly in April? What are the trends like in the deposit side of the
equation?",2025,1
11,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"It’s a little hard to tell, to be honest. It is true that wholesale deposits this quarter outperformed for us relative to our expectations. I don't think I
can say with any confidence that that's a result of the environment that we're in. So I think next quarter will probably be a better time to assess
that.",2025,1
12,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"I'll just – I'll say it may not be deposits. It may be treasury bills or various other things. And what you've seen which is different, it's not the risk
off trade in the 10-year. That is fundamentally different this time.",2025,1
13,9,Jim Mitchell,Analyst,Seaport Global Securities LLC,Right. Okay. Thanks for taking my questions.,2025,1
14,9,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Thanks.,2025,1
0,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Thanks. Good morning, Jamie. Good morning, Jeremy. Two questions. One for Jamie, just to kick off.",2025,1
1,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Good morning.,2025,1
2,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Jamie, you've been through many cycles. And I think we're all interested in understanding how you think this next cycle is likely to progress.
And I'm wondering, is there anything that you've seen in the past that looks like this, or that you would suggest if any slowdown coming
forward, is it more likely to be similar to what kind of prior cycle you've seen?",2025,1
3,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"An almost impossible answer. We look at all the cycles. And you know we prepare for a full range of outcomes. We're not – I don't personally
like predicting what the future is going to hold. But I do – I've pointed out over and over, there's a lot of issues out there. I think some of those
issues, you are going to see them resolve, for better or for worse, in the next four months.
So maybe when we're doing this call next quarter, we won't have to be guessing. We'll actually know what the effect of some of these things was
with some predictability and stuff like that. But it's – the result in a bank is almost always the same, which is volatile markets, credit losses go
up, people get more conservative, investments go down, what looks like a recession. Is it mild or hard? I don't know and – but we are – I've been
quite cautious, and you can see in our capital, our liquidity, our position, our balance sheet. And so we're prepared. But we do all that so we can
Jamie Dimon
Chairman & Chief Executive Officer, JPMorganChase A
serve our clients through thick or thin. We're not guessing about what the future is going to hold. Obviously, if you look at our numbers, we
have the margins and capability to get through just about anything.",2025,1
4,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Excellent. Okay. No, thank you for that. And then...",2025,1
5,10,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"But Betsy, this is different, okay? This is different. This is the global economy, and please read my Chairman's Letter. The most important thing
to me is the Western world stays together economically when we get through all this and militarily to keep the world safe and free for
democracy. That is the most important thing. I really almost don't care fundamentally about what the economy does in the next two quarters.
That isn't that important. We'll get through that. We've had recessions before and all that. It's the ultimate outcome. What's the goal? How can
we get there? And it's literally that. I mean – and the China issue is a major issue. I don't know how that's going to turn out. We obviously have to
follow the law of the land, but it's a significant change that we've never seen in our lives.",2025,1
6,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Okay. Thank you so much for that. And yes, looking forward to the next four months and clarity coming. So then one for Jeremy. Question on
the wholesale loans. I'm going into this because I noticed your average loan growth, I think it was running at about 2% year-on-year. And then
end of period loans was up 5% and wholesale loans was up 7%. So I'm just wondering if there was some line drawdowns at quarter end. And it's
a broader question on just liquidity. Do you see your customers looking for more liquidity? Are they drawing down lines? And maybe if you
could speak to liquidity in the front end of the market, that would be helpful, too. Thank you.",2025,1
7,10,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,"Yeah, it's a good question, Betsy. So a couple of things. One is in our soundings of our wholesale clients during sort of the moments of peak
uncertainty, we did hear them talking about wanting to focus on shoring up liquidity. Interestingly, I actually asked the question like a day ago,
whether we were seeing draws, meaningfully observable draws from clients. And the answer to that question was no, at least not yet. So, I don't
know what to make of that, but perhaps it suggests that we do not see that level of heightened anxiety that people are more just focusing on
addressing their supply chain issues right now. Yeah. So on wholesale loans.
Beyond that, I don't think there's that much of a story. Now we're seeing a bit more growth in sort of like Markets loans as opposed to traditional
C&I loans in the current moment, but that's neither here nor there. Did you have – yeah, you asked – what did you ask also, front end of the yield
curve, liquidity?",2025,1
8,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Yes, just in...",2025,1
9,10,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Was that your question?,2025,1
10,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"...money markets, Fed funds, the front end seemed to suggest...",2025,1
11,10,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Yeah. What we've heard from our Markets colleagues is that that's actually functioning quite smoothly.,2025,1
12,10,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,Okay. Thank you.,2025,1
13,10,Jeremy Barnum,Chief Financial Officer,JPMorgan Chase & Co.,Thanks,2025,1
0,11,Mike Mayo,Analyst,Well Fargo Securities LLC,"Hey, Jamie, you just said on this call, there's a ""Deep recognition of flaws"" by the new regulatory regime. And can you put – you or Jeremy, put
some meat on the bones as far as what's been an ideal scenario? You keep the safety and soundness of the system, but you rid all – as much
red tape and bureaucracy as possible. How much could expenses potentially decline? I assume you pass on some of that to customers and
you'd keep some of that, and the regulators would save money. So, some meat on the bones about the potential concrete savings from
deregulation.
But before that, the negative, which you highlight in the press release and the Chairman Letter about trade wars, Jamie, you went from trade
wars ""Get over it"" to this week say, ""Do something."" So just as far as the tariff journey, what were you initially expecting to what happened and
do you really think next earnings call we'll be through most of the uncertainty? Thanks.",2025,1
1,11,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. No, I don't think we'll necessarily be through all the uncertainty. I think you'll just know a lot more. And my quote was about, get over it. I
wish I hadn't said it. I was specifically referring to tariffs relating to protecting national security. National security is paramount. All things
should be subordinated to it. You may need tariffs to help fix some of the problems related to national security. National security is a small part
of trade, so – and it's rare earths, penicillin, medical ingredients, certain types of – obviously, you've heard about semiconductors. That was my
quote about, get over it. I did not change my view about it.
I would like to see the administration negotiate trade deals. I think they'll be good for everybody, and they want to do it too. They've said they
want to do it. They've said they're having conversations with 70, 80 different people. And so I do think if the regulators change regulations, it
will free up capital and liquidity to finance the system. And I don't – I wouldn't expect an expense drawdown that you're going to see. There will
be thousands – hundreds of people, maybe, but it's not going to be passed on. But it will reduce net-net the cost of liquidity and the cost of
loans and the cost of mortgages, if it's done right.
I specifically pointed out the mortgage issue in my Chairman's letter this year about if they do some of these reforms, the cost of mortgages
would come down 70 basis points. If I were them, I'd be focusing on that right now.",2025,1
2,11,Mike Mayo,Analyst,Well Fargo Securities LLC,"No, and you also mentioned hundreds of billions of dollars of extra lending if you reduce the CET1 ratio, I guess, back down by one-fifth.",2025,1
